亲和美园 大产权 电梯房 可以贷款必看好房,2室1厅 | 75.16平米 | 西南 | 毛坯 | 高楼层(共23层) | 板楼,45万5,988元/平
万达旁 3楼 无遮挡 有钥匙 满五唯一必看好房,3室2厅 | 116.3平米 | 南 北 | 其他 | 中楼层(共6层) | 板楼,99万8,513元/平
满五唯一，业主诚意出售，自己住装修保持的好必看好房,2室1厅 | 82.01平米 | 南 | 其他 | 低楼层(共24层) | 板楼,95万11,584元/平
扩景三向窗 精装房 近小区门口 大门公园 地暖阁楼必看好房,3室2厅 | 105.17平米 | 南 西 北 | 精装 | 高楼层(共7层) | 板楼,189万17,971元/平
小高层的中高层前无遮挡采光好视野好必看好房,2室1厅 | 81.27平米 | 南 北 | 其他 | 18层 | 板塔结合,75万9,229元/平
华亭丽园，精装修三室，全明通透，央空调地采暖已装必看好房,3室2厅 | 92.26平米 | 南 北 | 精装 | 低楼层(共18层) | 板楼,162万17,560元/平
环境好 阳面户型 全明格局好 采光好必看好房,2室1厅 | 93.75平米 | 南 | 其他 | 低楼层(共24层) | 板楼,122万13,014元/平
必买好房 满五唯一 好楼层 采光好 诚意出售必看好房,3室1厅 | 91.52平米 | 南 | 简装 | 高楼层(共18层) | 板楼,87.8万9,594元/平
好位置 视野开阔，南北通透，采光无遮挡，洋房必看好房,3室2厅 | 96.43平米 | 南 北 | 精装 | 7层 | 板楼,135万14,000元/平
婚房装修拎包入住 位置安静 采光无遮挡 交通便利必看好房,3室2厅 | 97.62平米 | 南 北 | 简装 | 高楼层(共18层) | 板楼,140万14,342元/平
两室低楼层带装修随时看房诚意出售欢迎随时看房必看好房,2室1厅 | 90.96平米 | 南 北 | 其他 | 低楼层(共24层) | 板楼,93万10,225元/平
梅江壹号院 新出三室 前排采光无遮挡 南北向 中楼层必看好房,3室2厅 | 140.63平米 | 南 | 精装 | 15层 | 板塔结合,508万36,124元/平
中间层，不临街，可带刀，税费低，光线好，价可谈必看好房,2室1厅 | 93.46平米 | 南 | 其他 | 中楼层(共31层) | 塔楼,173万18,511元/平
临湖和双梅江公园，门口有菜市场，离地铁近，价格可议必看好房,2室1厅 | 87.31平米 | 南 | 精装 | 低楼层(共30层) | 板楼,175万20,044元/平
诚意出售。文瑞家园两室，电梯房，楼层好，视野开阔必看好房,2室1厅 | 50.57平米 | 南 | 其他 | 低楼层(共18层) | 板塔结合,37万7,317元/平
社会山南苑，自住精装好楼层三室，业主诚售，看房随时必看好房,3室2厅 | 93.74平米 | 南 | 精装 | 中楼层(共20层) | 板楼,110万11,735元/平
户型稀有 可遇不可求，阳面临湖观景，视野开阔 无遮挡必看好房,4室2厅 | 274.37平米 | 南 北 | 精装 | 高楼层(共20层) | 板楼,700万25,513元/平
龙居花园满五唯一业主诚心出售采光好必看好房,3室2厅 | 116.1平米 | 南 北 | 简装 | 高楼层(共6层) | 板楼,79万6,805元/平
格调松间 精装3室 拎包入住 看房方便 随时签约必看好房,3室2厅 | 128.43平米 | 北 南 | 精装 | 中楼层(共18层) | 板楼,295万22,970元/平
市内六区私产房 可贷款 中间楼层必看好房,1室1厅 | 43.07平米 | 南 | 简装 | 中楼层(共6层) | 板楼,50万11,610元/平
观鹭花园改善三居 近地铁临龙湖天街钥匙房看房方便必看好房,3室2厅 | 182.86平米 | 南 | 精装 | 高楼层(共28层) | 板楼,360万19,688元/平
一楼 一楼 一楼 位置好 满五唯一 毛坯房必看好房,2室1厅 | 79.39平米 | 东南 | 其他 | 低楼层(共18层) | 板楼,68万8,566元/平
金隅满堂 电梯洋房一梯两户 毛坯房 有钥匙必看好房,2室1厅 | 91.63平米 | 南 | 其他 | 中楼层(共11层) | 板楼,145万15,825元/平
南站万科边户 H+1精装好楼层 配套齐全必看好房,3室2厅 | 92.82平米 | 南 北 | 精装 | 低楼层(共18层) | 板塔结合,127万13,683元/平
此房过5年南北通透格局钻石楼层必看好房,2室1厅 | 93.17平米 | 南 北 | 毛坯 | 中楼层(共6层) | 板楼,110万11,807元/平
美的旭辉瀚悦府 满两年 采光视野好，价格合适必看好房,2室2厅 | 86.79平米 | 南 北 | 精装 | 26层 | 板塔结合,128万14,749元/平
电梯房 近地铁在建8号线 小户型总价低必看好房,1室1厅 | 55.69平米 | 南 | 简装 | 低楼层(共18层) | 板楼,58万10,415元/平
此房精装修 楼层好 户型通透 采光好 房主诚心出售必看好房,3室1厅 | 99.93平米 | 南 北 | 精装 | 15层 | 板塔结合,142万14,210元/平
中间楼层 三面朝南 南侧无遮挡 业主诚心出售必看好房,3室2厅 | 118.4平米 | 南 | 简装 | 中楼层(共9层) | 板楼,162万13,683元/平
小户型，低总价，高楼层，采光视野无遮挡必看好房,1室1厅 | 40.3平米 | 南 | 简装 | 高楼层(共30层) | 板楼,37万9,182元/平
洋房精装装修，全明户型，边户带小院带地下室必看好房,5室2厅 | 105.39平米 | 南 北 | 其他 | 低楼层(共11层) | 板楼,238万22,583元/平
远洋万和城 三期精装全明 好楼层小三室 有地下车位必看好房,3室1厅 | 94.73平米 | 南 | 精装 | 中楼层(共24层) | 板楼,136万14,357元/平
电梯房 带阳台，采光不错停车方便生活成本低必看好房,1室1厅 | 63.72平米 | 南 | 简装 | 高楼层(共22层) | 板塔结合,52.5万8,240元/平
房源好位置有装修 可以当两套房子用必看好房,2室2厅 | 68.94平米 | 南 北 | 其他 | 高楼层(共5层) | 板楼,87.2万12,649元/平
前排，采光好，精装修，没有住过必看好房,4室2厅 | 208.81平米 | 南 北 | 精装 | 15层 | 板塔结合,760万36,397元/平
满五 唯一 我们店有钥匙 随时能看 带露台必看好房,3室2厅 | 108.44平米 | 南 北 | 简装 | 高楼层(共5层) | 板楼,145万13,372元/平
博园洋房三室，中间楼层带车位，满五唯一省税必看好房,3室2厅 | 89.03平米 | 南 北 | 精装 | 中楼层(共8层) | 板塔结合,126万14,153元/平
万科物业 双地铁7.10号线 满五年 采光好 诚心出售 急必看好房,2室1厅 | 73.96平米 | 南 | 其他 | 中楼层(共26层) | 板塔结合,163万22,039元/平
保利尚林苑 边户通透三室 采光好无遮挡必看好房,3室2厅 | 89.56平米 | 南 | 简装 | 中楼层(共18层) | 板楼,128万14,293元/平
通透三室，下楼地铁，配套齐全，中间楼层必看好房,3室2厅 | 127.38平米 | 南 北 | 精装 | 低楼层(共31层) | 板楼,259万20,333元/平
楼下就是湖面，小区门口就是公园，小区内近千平草坪必看好房,3室2厅 | 169.03平米 | 南 北 | 精装 | 高楼层(共30层) | 板楼,354万20,944元/平
民盛里带大飘窗两室，中间楼层满两年，双卧朝南必看好房,2室2厅 | 95.25平米 | 南 北 | 精装 | 高楼层(共18层) | 板楼,81万8,504元/平
旭水蓝轩 南开H U 中间楼层 过五年无二套必看好房,1室1厅 | 55.87平米 | 南 | 简装 | 中楼层(共6层) | 板楼,65万11,635元/平
大两居 居住舒适 独立餐客厅 5-10双地铁 生活氛围好必看好房,2室2厅 | 104.64平米 | 南 | 简装 | 高楼层(共6层) | 板楼,86万8,219元/平
融侨方圆 一梯一户 全屋定制 精装 全明宽厅 不临街必看好房,3室2厅 | 137.3平米 | 南 北 | 精装 | 低楼层(共7层) | 板塔结合,238万17,335元/平
招商公园 准新房 87平米20万精装修 ，价格可谈必看好房,2室1厅 | 86.98平米 | 南 | 精装 | 21层 | 板塔结合,134万15,406元/平
此房满两年，三阳格局，楼层好，视野宽阔，采光充足必看好房,2室2厅 | 88.93平米 | 南 北 | 精装 | 低楼层(共18层) | 板楼,125万14,056元/平
碧湖园 2室2厅 南 北必看好房,2室2厅 | 94.96平米 | 南 北 | 简装 | 低楼层(共6层) | 板楼,129万13,585元/平
急售好房 户型方正 独立餐厅 随时看必看好房,3室2厅 | 120.88平米 | 南 | 简装 | 低楼层(共11层) | 塔楼,105万8,687元/平
电梯洋房 满五唯一 电梯直达地库 诚心出售必看好房,2室2厅 | 92.11平米 | 南 北 | 简装 | 低楼层(共9层) | 板楼,159万17,262元/平
云锦世家观锦园 三室两卫 满五唯一 精装修必看好房,3室2厅 | 127.17平米 | 南 北 | 精装 | 中楼层(共26层) | 板楼,173万13,604元/平
通透两居室 近地铁 出行方便必看好房,2室1厅 | 90.33平米 | 南 北 | 简装 | 低楼层(共26层) | 板楼,126万13,949元/平
一楼可满两年，采光好，价格可议，有钥匙随时看房必看好房,2室1厅 | 86.67平米 | 南 北 | 其他 | 低楼层(共6层) | 板楼,73万8,423元/平
梅江壹号院 刚交房 楼层好 采光无影响 户型方正必看好房,4室2厅 | 206.55平米 | 南 | 精装 | 24层 | 板塔结合,738万35,730元/平
万科物业 南北通透 采光好 新登记必看好房,2室2厅 | 93.65平米 | 南 北 | 简装 | 高楼层(共6层) | 板塔结合,110万11,746元/平
小高层高区产品，观湖风景，毛坯房，随时看房必看好房,3室2厅 | 103.09平米 | 南 北 | 毛坯 | 高楼层(共16层) | 板楼,258万25,027元/平
金地二期精装修三居室，随时可看，随时签约必看好房,3室1厅 | 95.16平米 | 南 北 | 精装 | 11层 | 板楼,155万16,289元/平
凤凰层，全天采光，全明两居室，业主诚意卖必看好房,2室1厅 | 90.6平米 | 南 北 | 精装 | 高楼层(共6层) | 板楼,114万12,583元/平
满五唯一 房主诚心出售 精装修跃层 全天采光 看房方便必看好房,2室1厅 | 81.72平米 | 南 | 其他 | 高楼层(共18层) | 板楼,69.8万8,542元/平
君悦花苑，中间楼层，边户，精装修，业主诚心卖必看好房,2室1厅 | 95.4平米 | 南 北 | 精装 | 11层 | 板楼,112万11,741元/平
萍姐推荐经典L飘窗瞰景高层，没租过诚心卖，随时看房必看好房,2室2厅 | 93.19平米 | 南 | 简装 | 高楼层(共18层) | 板塔结合,78万8,370元/平
龙湖天街，双地铁，万科物业，精装修两室必看好房,2室1厅 | 64.52平米 | 东南 | 精装 | 高楼层(共34层) | 板塔结合,134万20,769元/平
金地二期H+1户型 不临街不把边 带车位急售必看好房,3室2厅 | 123.97平米 | 南 北 | 精装 | 11层 | 板楼,227万18,311元/平
四室临湖 直观梅江公园 老梅江顶跃房 二片梧桐必看好房,4室2厅 | 273.2平米 | 南 北 | 毛坯 | 高楼层(共27层) | 板楼,700万25,623元/平
店长力推 燕南园洋房 楼层好 位置好 精装修拎包入住必看好房,3室2厅 | 94.63平米 | 南 北 | 精装 | 高楼层(共11层) | 板楼,129万13,633元/平
天津南站 精装上叠边户带电梯 改善好选择必看好房,3室1厅 | 129.05平米 | 南 北 | 精装 | 中楼层(共4层) | 板塔结合,232万17,978元/平
国风星苑一期 自住精装两室 小区中间位置 有车位必看好房,2室2厅 | 84.57平米 | 南 北 | 精装 | 高楼层(共6层) | 板楼,130万15,372元/平
小高层 一梯两户 h户型 过五年 产权清晰必看好房,2室1厅 | 83.59平米 | 南 北 | 精装 | 11层 | 板塔结合,83万9,930元/平
急售可随时过户 实用面积大 带车位 近小区口出入方便必看好房,3室2厅 | 183.57平米 | 南 北 | 其他 | 高楼层(共4层) | 板楼,298万16,234元/平
保利拾光年 三室 30万的全屋智能定制精致装修 满两年必看好房,3室2厅 | 86.74平米 | 南 北 | 精装 | 16层 | 板楼,142万16,371元/平
环内洋房 阳面一居室价格低私产能贷款必看好房,1室1厅 | 35.25平米 | 南 | 简装 | 中楼层(共6层) | 板楼,38.2万10,837元/平
楼。王。纯次新房，交房到现在没住过人。随时看房必看好房,3室2厅 | 110.3平米 | 南 北 | 精装 | 26层 | 板塔结合,165万14,960元/平
河西天塔 双地铁 中间楼层 户型好 采光好必看好房,2室1厅 | 83.66平米 | 南 北 | 精装 | 中楼层(共6层) | 板楼,155万18,528元/平
水溪苑 洋房通透两室 中间层 业主急售,2室1厅 | 90.6平米 | 南 北 | 简装 | 中楼层(共6层) | 板楼,118万13,025元/平
满五唯一 有电梯 视野宽阔 采光充足 交通便利必看好房,2室1厅 | 84.89平米 | 南 | 精装 | 高楼层(共11层) | 板塔结合,109万12,841元/平
华亭丽园 精装修 采光无遮挡 看房方便必看好房,1室1厅 | 63.02平米 | 南 北 | 精装 | 高楼层(共5层) | 板楼,70万11,108元/平
万科假日风景宽厅洋房三室 中间楼层 无遮挡必看好房,3室2厅 | 120.57平米 | 南 北 | 毛坯 | 中楼层(共6层) | 板塔结合,158万13,105元/平
满五唯一，大四居，边户全明户型，中间位置必看好房,4室2厅 | 112.06平米 | 南 北 | 简装 | 低楼层(共8层) | 板楼,158万14,100元/平
此房满五年 业主诚心出售 中间好楼层 采光充足必看好房,3室1厅 | 91.96平米 | 南 | 精装 | 中楼层(共24层) | 板楼,121万13,158元/平
没个税 不临街 30W精装修 带车位 南北通透 着急卖必看好房,3室1厅 | 92.8平米 | 南 北 | 精装 | 中楼层(共16层) | 板楼,145万15,625元/平
小高层 全明户型 精装3室 全天采光 拎包入住 急售好房必看好房,3室2厅 | 144.39平米 | 南 北 | 精装 | 高楼层(共18层) | 板楼,340万23,548元/平
康园大产权 价格合适 看房方便必看好房,1室1厅 | 52.8平米 | 东 南 北 | 简装 | 低楼层(共24层) | 板塔结合,35万6,629元/平
精装修南北通透三室诚意卖价格可仪必看好房,3室1厅 | 90.91平米 | 南 北 | 精装 | 低楼层(共18层) | 板楼,148万16,280元/平
燕南园洋房精装修，业主自住 过五年带车位 诚心卖必看好房,3室1厅 | 94.53平米 | 南 北 | 简装 | 低楼层(共11层) | 板楼,110万11,637元/平
萍姐推荐经典好房，满两年首业主，采光亮堂，看房方便必看好房,2室1厅 | 89.61平米 | 南 | 精装 | 低楼层(共11层) | 板楼,70万7,812元/平
大户型顶层带阁楼，好位置满五唯一，看房方便诚心出售必看好房,3室1厅 | 156.59平米 | 南 北 | 毛坯 | 6层 | 板楼,175万11,176元/平
边户电梯房 H+1户型 南北通透 12年的房龄 小区环境好必看好房,2室1厅 | 96.87平米 | 北 南 | 简装 | 低楼层(共23层) | 板楼,145万14,969元/平
人和院 全阳一室 中间楼层 采光好 业主诚心出售必看好房,1室1厅 | 62.26平米 | 南 | 简装 | 中楼层(共11层) | 板楼,72万11,565元/平
清枫园 两室一楼带院 精装修 有钥匙 随时看房必看好房,2室2厅 | 87.86平米 | 南 北 | 精装 | 低楼层(共6层) | 板楼,170万19,349元/平
碧轩园低楼层 H户型 位置好 满五唯一必看好房,2室1厅 | 107.86平米 | 南 北 | 简装 | 低楼层(共6层) | 板楼,191万17,709元/平
好楼层好楼栋，业主诚心卖，价格可以谈必看好房,2室2厅 | 86.79平米 | 南 北 | 精装 | 26层 | 板塔结合,131万15,094元/平
翡翠嘉和 四期好楼层 一天为住必看好房,3室2厅 | 117.84平米 | 南 | 精装 | 7层 | 板楼,255万21,640元/平
满两年，品牌精装修 。南北通透 好楼层必看好房,3室2厅 | 94.48平米 | 南 北 | 精装 | 9层 | 板楼,158万16,724元/平
带大院，带大地下室，全屋精装新风系统，边户必看好房,3室2厅 | 101.27平米 | 南 北 | 精装 | 低楼层(共8层) | 板楼,230万22,712元/平
中北镇华亭国际 南北通透 电梯洋房 全明户型 看房方便必看好房,2室1厅 | 87.81平米 | 南 北 | 精装 | 高楼层(共11层) | 板塔结合,117万13,325元/平
运河水畔花园 楼层好 精装修一天没住 四期 价格可谈必看好房,3室2厅 | 118.58平米 | 南 | 精装 | 11层 | 暂无数据,269万22,686元/平
大户型改善，落地窗采光好，前方无遮挡，视野宽阔必看好房,3室2厅 | 142.44平米 | 南 北 | 精装 | 中楼层(共8层) | 板楼,180万12,637元/平
大面积两居室，通透户型，央企开发，万科物业，精装修必看好房,2室1厅 | 100.01平米 | 南 北 | 精装 | 17层 | 板塔结合,116万11,599元/平
枫香园双阳两室刚需之选楼位楼层都不错必看好房,2室1厅 | 87.74平米 | 南 | 简装 | 中楼层(共27层) | 板楼,96万10,942元/平
仅有一栋楼有的小高电梯南北通透大两居必看好房,2室1厅 | 107.78平米 | 南 北 | 简装 | 中楼层(共10层) | 板楼,148万13,732元/平
云锦四期 一楼带院带1：1地下室 边户 带车位必看好房,3室2厅 | 122.22平米 | 南 北 | 其他 | 低楼层(共7层) | 板楼,320万26,183元/平
闹中取静，享安逸生活，隐藏在闹市中的桃园必看好房,2室1厅 | 88.75平米 | 南 北 | 精装 | 中楼层(共6层) | 板楼,111万12,508元/平
此房为洋房户型格局好，停车方便，楼间距大，采光好必看好房,2室1厅 | 88.79平米 | 南 北 | 简装 | 中楼层(共5层) | 板楼,135万15,205元/平
此房楼层好，采光好，户型好，税费低必看好房,2室1厅 | 76.93平米 | 南 北 | 精装 | 中楼层(共18层) | 板楼,110万14,299元/平
挨着大学城，企业产，小户型，好出租，价格可议必看好房,1室1厅 | 28.35平米 | 北 | 简装 | 高楼层(共4层) | 板楼,25万8,819元/平
小区环境优美，通行方便，业主诚心出售必看好房,2室2厅 | 88.23平米 | 南 | 精装 | 中楼层(共26层) | 板楼,167万18,928元/平
边户大两居，好楼层，采光视野好，随时能签必看好房,2室1厅 | 95.15平米 | 南 | 简装 | 低楼层(共18层) | 板楼,77.5万8,146元/平
枫香园双阳两室刚需之选楼位楼层都不错必看好房,2室1厅 | 87.74平米 | 南 | 简装 | 中楼层(共27层) | 板楼,96万10,942元/平
云锦四期 一楼带院带1：1地下室 边户 带车位必看好房,3室2厅 | 122.22平米 | 南 北 | 其他 | 低楼层(共7层) | 板楼,320万26,183元/平
闹中取静，享安逸生活，隐藏在闹市中的桃园必看好房,2室1厅 | 88.75平米 | 南 北 | 精装 | 中楼层(共6层) | 板楼,111万12,508元/平
仅有一栋楼有的小高电梯南北通透大两居必看好房,2室1厅 | 107.78平米 | 南 北 | 简装 | 中楼层(共10层) | 板楼,148万13,732元/平
此房为洋房户型格局好，停车方便，楼间距大，采光好必看好房,2室1厅 | 88.79平米 | 南 北 | 简装 | 中楼层(共5层) | 板楼,135万15,205元/平
人和院 全阳一室 中间楼层 采光好 业主诚心出售必看好房,1室1厅 | 62.26平米 | 南 | 简装 | 中楼层(共11层) | 板楼,72万11,565元/平
清枫园 两室一楼带院 精装修 有钥匙 随时看房必看好房,2室2厅 | 87.86平米 | 南 北 | 精装 | 低楼层(共6层) | 板楼,170万19,349元/平
店长推荐 恋海园 户型通透 中间层 地铁6号线 融创物业必看好房,3室2厅 | 178.4平米 | 南 西 | 精装 | 高楼层(共24层) | 板楼,420万23,543元/平
此房满两年，新房小区，环境宜人，配套齐全必看好房,3室2厅 | 100.67平米 | 南 北 | 精装 | 高楼层(共15层) | 板楼,150万14,901元/平
满两年 方正一室 总价低 诚心出售必看好房,1室1厅 | 65.92平米 | 南 北 | 精装 | 中楼层(共18层) | 板楼,46万6,979元/平
近小区门口 视野开阔 采光充足 户型方正 中间楼层必看好房,2室1厅 | 84.09平米 | 西 南 | 精装 | 25层 | 板塔结合,74万8,801元/平
一楼可满两年，采光好，价格可议，有钥匙随时看房必看好房,2室1厅 | 86.67平米 | 南 北 | 其他 | 低楼层(共6层) | 板楼,73万8,423元/平
景园里 双阳三室 二楼 出行便利 配套设施齐全业主急售必看好房,3室1厅 | 95.84平米 | 南 北 | 简装 | 低楼层(共6层) | 板楼,129万13,460元/平
新上前排富力湾双阳户型 楼层好 视野好 诚心卖 急售必看好房,2室2厅 | 89.26平米 | 南 | 精装 | 低楼层(共26层) | 板塔结合,130万14,565元/平
云舒花园 通透大三室 中高层 无遮挡 诚意出售有必看好房,3室1厅 | 152.13平米 | 南 北 | 精装 | 中楼层(共24层) | 板塔结合,310万20,378元/平
业主急售，一梯两户南北通透，9层小高的2楼必看好房,2室1厅 | 92.14平米 | 南 西 北 | 简装 | 低楼层(共9层) | 板楼,148万16,063元/平
保利尚林苑 3室2厅 南 北必看好房,3室2厅 | 105.41平米 | 南 北 | 精装 | 中楼层(共11层) | 板楼,165万15,654元/平
溪秀苑 前排 双阳两室 出门地铁八号线在建必看好房,2室1厅 | 89.74平米 | 北 南 西 | 简装 | 中楼层(共6层) | 板楼,98万10,921元/平
金地二期精装修三居室，随时可看，随时签约必看好房,3室1厅 | 95.16平米 | 南 北 | 精装 | 11层 | 板楼,155万16,289元/平
君悦捡陋两室自住装修看房方便业主诚心出售好楼层必看好房,2室1厅 | 95.1平米 | 南 北 | 精装 | 11层 | 板楼,106万11,147元/平
小高层高区产品，观湖风景，毛坯房，随时看房必看好房,3室2厅 | 103.09平米 | 南 北 | 毛坯 | 高楼层(共16层) | 板楼,258万25,027元/平
通透两居室 近地铁 出行方便必看好房,2室1厅 | 90.33平米 | 南 北 | 简装 | 低楼层(共26层) | 板楼,126万13,949元/平
万科物业 南北通透 采光好 新登记必看好房,2室2厅 | 93.65平米 | 南 北 | 简装 | 高楼层(共6层) | 板塔结合,110万11,746元/平
中北镇2号线曹庄地铁站旁 精装大一居室必看好房,1室1厅 | 72.27平米 | 南 | 精装 | 中楼层(共24层) | 板楼,68万9,410元/平
盛和嘉园次顶层两室有钥匙随时可以看必看好房,2室1厅 | 83.98平米 | 东南 | 简装 | 29层 | 板塔结合,68万8,098元/平
万科物业 小区环境好 自带精装 户型方正 价格可以商量必看好房,2室1厅 | 79.92平米 | 南 | 精装 | 高楼层(共29层) | 板塔结合,114万14,265元/平
万科物业 小区环境好 自带精装 户型方正 价格可以商量必看好房,2室1厅 | 79.92平米 | 南 | 精装 | 高楼层(共29层) | 板塔结合,114万14,265元/平
一楼可满两年，采光好，价格可议，有钥匙随时看房必看好房,2室1厅 | 86.67平米 | 南 北 | 其他 | 低楼层(共6层) | 板楼,73万8,423元/平
店长推荐 恋海园 户型通透 中间层 地铁6号线 融创物业必看好房,3室2厅 | 178.4平米 | 南 西 | 精装 | 高楼层(共24层) | 板楼,420万23,543元/平
云舒花园 通透大三室 中高层 无遮挡 诚意出售有必看好房,3室1厅 | 152.13平米 | 南 北 | 精装 | 中楼层(共24层) | 板塔结合,310万20,378元/平
近小区门口 视野开阔 采光充足 户型方正 中间楼层必看好房,2室1厅 | 84.09平米 | 西 南 | 精装 | 25层 | 板塔结合,74万8,801元/平
梅江南低密度洋房玻璃幕墙高品质必看好房,2室2厅 | 84.73平米 | 南 | 精装 | 中楼层(共11层) | 板楼,180万21,244元/平
文瑞家园，阳面一室，小户型总价低必看好房,1室1厅 | 39.17平米 | 南 | 简装 | 中楼层(共30层) | 暂无数据,28.5万7,276元/平
君悦捡陋两室自住装修看房方便业主诚心出售好楼层必看好房,2室1厅 | 95.1平米 | 南 北 | 精装 | 11层 | 板楼,106万11,147元/平
溪秀苑 前排 双阳两室 出门地铁八号线在建必看好房,2室1厅 | 89.74平米 | 北 南 西 | 简装 | 中楼层(共6层) | 板楼,98万10,921元/平
景园里 双阳三室 二楼 出行便利 配套设施齐全业主急售必看好房,3室1厅 | 95.84平米 | 南 北 | 简装 | 低楼层(共6层) | 板楼,129万13,460元/平
正荣润璟湾通透两室 业主诚心出售 装修好 可直接入住必看好房,2室2厅 | 85.72平米 | 南 北 | 精装 | 高楼层(共26层) | 板楼,124万14,466元/平
保利罗兰 非顶层 满五年 精装三居 保持的好 随时可看必看好房,3室2厅 | 103.73平米 | 南 | 精装 | 高楼层(共7层) | 板楼,165万15,907元/平
盛和嘉园 东南朝向 采光棒 视野佳必看好房,2室1厅 | 83.82平米 | 东南 | 精装 | 29层 | 板塔结合,71万8,471元/平
盛和嘉园次顶层两室有钥匙随时可以看必看好房,2室1厅 | 83.98平米 | 东南 | 简装 | 29层 | 板塔结合,68万8,098元/平
业主急售，一梯两户南北通透，9层小高的2楼必看好房,2室1厅 | 92.14平米 | 南 西 北 | 简装 | 低楼层(共9层) | 板楼,148万16,063元/平
保利尚林苑 3室2厅 南 北必看好房,3室2厅 | 105.41平米 | 南 北 | 精装 | 中楼层(共11层) | 板楼,165万15,654元/平
满两年 方正一室 总价低 诚心出售必看好房,1室1厅 | 65.92平米 | 南 北 | 精装 | 中楼层(共18层) | 板楼,46万6,979元/平
精装修小两室诚心卖价格好谈看房方便必看好房,2室1厅 | 78.91平米 | 南 北 | 精装 | 低楼层(共17层) | 板楼,158万20,023元/平
新上前排富力湾双阳户型 楼层好 视野好 诚心卖 急售必看好房,2室2厅 | 89.26平米 | 南 | 精装 | 低楼层(共26层) | 板塔结合,130万14,565元/平
此房满两年，新房小区，环境宜人，配套齐全必看好房,3室2厅 | 100.67平米 | 南 北 | 精装 | 高楼层(共15层) | 板楼,150万14,901元/平
近南站 近步行街 低价好房 3楼边户必看好房,2室1厅 | 86.28平米 | 南 北 | 其他 | 中楼层(共6层) | 板楼,69.9万8,102元/平
东边户 通透户型 居住舒适 看房方便必看好房,2室1厅 | 97.82平米 | 南 | 精装 | 低楼层(共17层) | 暂无数据,68万6,952元/平
央企次新房三居室，50万精装修必看好房,3室2厅 | 118.09平米 | 南 北 | 精装 | 26层 | 板塔结合,189.5万16,048元/平
保利和光尘樾，带装修，好楼层，采光好，省个税必看好房,2室1厅 | 76.93平米 | 南 北 | 简装 | 高楼层(共18层) | 板楼,110万14,299元/平
万科边户采光充足，位置优越，配套齐全必看好房,3室1厅 | 90.53平米 | 南 北 | 精装 | 中楼层(共8层) | 板塔结合,125万13,808元/平
一楼院 方便停车 南北通透 距离地铁8号线近必看好房,1室1厅 | 71.48平米 | 南 北 | 精装 | 低楼层(共5层) | 板楼,99万13,851元/平
万科改善小三室 标准南北通透 诚意出售 价格可聊必看好房,3室2厅 | 93.62平米 | 南 北 | 毛坯 | 中楼层(共11层) | 板楼,148万15,809元/平
精武镇 大学城板块 满2年 看房方便 业主诚售必看好房,3室2厅 | 112.35平米 | 南 北 | 精装 | 中楼层(共7层) | 板楼,164万14,598元/平
房子满两年 总价低 位置好 出行方便必看好房,1室1厅 | 66.77平米 | 南 北 | 精装 | 18层 | 板楼,55万8,238元/平
好楼层位置好可做驿站老人居住采光好位置好必看好房,1室1厅 | 66.53平米 | 南 | 精装 | 低楼层(共18层) | 塔楼,47.5万7,140元/平
雅园高层边户，满五唯一，诚心出售必看好房,3室1厅 | 91.89平米 | 南 北 | 精装 | 高楼层(共18层) | 板塔结合,129万14,039元/平
精装三室，房主诚心卖，价位可以聊，满五年有二套,3室2厅 | 154.04平米 | 南 北 | 其他 | 32层 | 板塔结合,390万25,319元/平
兴旺里 中户两室 位置好 诚心出售,2室1厅 | 61.8平米 | 南 | 简装 | 低楼层(共4层) | 板楼,52万8,415元/平
金盛园 低楼层改善三室 简装房装修方便 采光好有钥匙,3室2厅 | 112.6平米 | 南 | 其他 | 中楼层(共5层) | 板楼,178万15,809元/平
青吉里 ，一楼户型方正，配套全,2室1厅 | 77.96平米 | 南 北 | 简装 | 低楼层(共6层) | 板楼,94万12,058元/平
凯信佳园一室 户型方正 出行便利 配套设施齐全急售,1室1厅 | 70.07平米 | 南 北 | 其他 | 中楼层(共6层) | 板楼,119万16,984元/平
保利开发 宽厅两室 业主诚心出售 价格可小议,2室1厅 | 80.64平米 | 南 | 简装 | 高楼层(共18层) | 板楼,150万18,602元/平
万科四季文园 3室2厅 南,3室2厅 | 89.77平米 | 南 | 精装 | 中楼层(共8层) | 板塔结合,160万17,824元/平
瑞泰里边户,精装修位置好,楼层好,南北通透,停车免费,2室1厅 | 89.79平米 | 南 北 | 精装 | 低楼层(共6层) | 板楼,133万14,813元/平
大学城旁，精装两居，小区好位置，视野开阔，可小刀,2室2厅 | 90.11平米 | 南 | 其他 | 中楼层(共21层) | 板楼,75万8,324元/平
次顶层 自住装修 满五唯一,3室1厅 | 91.53平米 | 南 | 其他 | 高楼层(共17层) | 板楼,117万12,783元/平
青馨园，采光好，户型方正，看房联系,2室1厅 | 100.13平米 | 南 北 | 其他 | 高楼层(共6层) | 板楼,105万10,487元/平
小区环境优美 配套齐全 动静分离 布局合理 看房方便,3室1厅 | 102.37平米 | 南 北 | 其他 | 15层 | 板塔结合,153万14,946元/平
